fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_amodeim,results_ackermanp,results_hansenj,results_absentee_amodeim,results_absentee_ackermanp,results_absentee_hansenj,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,state_aspect_ratio_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
32510,Carson City,28666,0,22,24,Merged into voters' home precincts and released with cumulative results,92,31020,92%,92% reported,edison,4,some,26427,16500,11450,716,0,0,0,2020-11-06T18:03:40Z,17.61669,R+18,Amodei +18,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32001,Churchill,12295,0,17,19,Merged into voters' home precincts and released with cumulative results,91,13563,91%,91% reported,edison,4,some,11522,9121,2711,463,0,0,0,2020-11-06T16:53:40Z,52.13501,R+52,Amodei +52,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32005,Douglas,32908,0,39,41,Merged into voters' home precincts and released with cumulative results,95,34577,95%,95% reported,edison,4,unknown,27677,22001,10238,669,0,0,0,2020-11-06T16:55:39Z,35.74511,R+36,Amodei +36,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32007,Elko,20733,0,36,41,Merged into voters' home precincts and released with cumulative results,90,23013,90%,90% reported,edison,4,some,16878,15628,4024,1081,0,0,0,2020-11-10T17:07:53Z,55.96875,R+56,Amodei +56,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32011,Eureka,927,405,4,4,Merged into voters' home precincts and released with cumulative results,100,927,>98%,>98% reported,edison,6,some,565,802,84,41,365,22,18,2020-11-04T16:32:46Z,77.45415,R+77,Amodei +77,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32013,Humboldt,7217,0,14,15,Merged into voters' home precincts and released with cumulative results,90,7977,90%,90% reported,edison,4,unknown,5797,5529,1430,258,0,0,0,2020-11-04T10:43:31Z,56.79645,R+57,Amodei +57,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32015,Lander,2619,0,7,9,Merged into voters' home precincts and released with cumulative results,88,2992,88%,88% reported,edison,2,unknown,2155,2029,458,132,0,0,0,2020-11-06T16:57:39Z,59.98473,R+60,Amodei +60,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32019,Lyon,23874,0,33,33,Merged into voters' home precincts and released with cumulative results,99,24135,>98%,>98% reported,edison,4,some,20256,16522,6580,772,0,0,0,2020-11-06T17:03:39Z,41.64363,R+42,Amodei +42,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32027,Pershing,2193,0,5,6,Merged into voters' home precincts and released with cumulative results,89,2458,89%,89% reported,edison,2,unknown,1541,1598,490,105,0,0,0,2020-11-04T10:43:33Z,50.5244,R+51,Amodei +51,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32029,Storey,2827,0,13,15,Merged into voters' home precincts and released with cumulative results,89,3172,89%,89% reported,edison,4,some,1990,1932,817,78,0,0,0,2020-11-10T17:04:59Z,39.4411,R+39,Amodei +39,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
32031,Washoe,240904,0,521,563,Merged into voters' home precincts and released with cumulative results,93,260287,93%,93% reported,edison,4,some,212214,119908,114821,6175,0,0,0,2020-11-10T17:04:58Z,2.11163,R+2,Amodei +2,republican,NV-G-H-2-2020-11-03,nv-house-general-district-002-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada-house-district-2.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-nevada.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-nevada.html,house,general,2020-11-03,FALSE,U.S. House District 2,U.S. House,H,solid-rep,2,District 2,NV,nevada,Nevada,Nev.,vertical,1.1,"",FALSE,TRUE,winner,AP,FALSE,"",375163,405,1,unknown,Polls closed at 10 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T03:00:00.000Z,10 p.m.,711,770,92% reporting,92%,93,405000,edison,93%,93% reported,edison,republican,FALSE,2020-11-10T17:07:55Z,TRUE,15.58443,58467,R+16,Amodei +16,republican,"","",7,0,1604472502011
