fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_max_ballots,results_kellerf,results_griffinl,results_absentee_kellerf,results_absentee_griffinl,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,race_id_race,race_slug_race,url_race,state_page_url_race,ap_polls_page_race,edison_exit_polls_page_race,race_type_race,election_type_race,election_date_race,runoff_race,race_name_race,office_race,officeid_race,race_rating_race,seat_race,seat_name_race,state_id_race,state_slug_race,state_name_race,state_nyt_abbrev_race,state_shape_race,party_id_race,uncontested_race,report_race,result_race,result_source_race,gain_race,lost_seat_race,votes_race,absentee_votes_race,absentee_counties_race,absentee_count_progress_race,poll_display_race,poll_countdown_display_race,poll_waiting_display_race,poll_time_race,poll_time_short_race,precincts_reporting_race,precincts_total_race,reporting_display_race,reporting_value_race,eevp_race,tot_exp_vote_race,eevp_source_race,eevp_value_race,eevp_display_race,county_data_source_race,incumbent_party_race,no_forecast_race,last_updated_race,has_incumbent_race,leader_margin_value_race,leader_margin_votes_race,leader_margin_display_race,leader_margin_name_display_race,leader_party_id_race,expectations_text_race,expectations_text_short_race,absentee_ballot_deadline_race,absentee_postmark_deadline_race,winner_called_timestamp_race
42015,Bradford,29484,0,60,61,None,99,29821,>98%,>98% reported,edison,4,none,2080,22208,7276,0,0,2020-11-10T20:48:46Z,50.64442,R+51,Keller +51,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42027,Centre,41483,0,33,42,Merged into voters' home precincts and released with cumulative results,79,52525,79%,79% reported,edison,2,unknown,6518,17530,23953,0,0,2020-11-09T22:12:39Z,15.48345,D+15,Griffin +15,democrat,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42035,Clinton,17325,0,32,34,Released with cumulative results periodically election night,97,17857,97%,97% reported,edison,2,unknown,925,12032,5293,0,0,2020-11-10T18:38:46Z,38.89755,R+39,Keller +39,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42067,Juniata,11868,0,17,18,Merged into voters' home precincts and released with cumulative results,98,12127,98%,98% reported,edison,4,none,670,9764,2104,0,0,2020-11-06T16:14:39Z,64.54331,R+65,Keller +65,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42081,Lycoming,57707,0,79,81,Merged into voters' home precincts and released with cumulative results,98,58655,98%,98% reported,edison,2,some,3546,42310,15397,0,0,2020-11-09T15:50:38Z,46.63732,R+47,Keller +47,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42087,Mifflin,21130,0,25,26,Merged into voters' home precincts and released with cumulative results,98,21577,98%,98% reported,edison,2,unknown,1134,16821,4309,0,0,2020-11-10T18:16:45Z,59.21439,R+59,Keller +59,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42097,Northumberland,28070,0,49,49,None,100,27992,>98%,>98% reported,edison,4,some,2466,20801,7269,0,0,2020-11-10T17:16:46Z,48.20805,R+48,Keller +48,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42099,Perry,24226,635,30,31,Merged into voters' home precincts and released with cumulative results,99,24543,>98%,>98% reported,edison,2,some,1426,19003,5223,295,340,2020-11-10T19:40:46Z,56.88104,R+57,Keller +57,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42105,Potter,8783,0,29,30,Merged into voters' home precincts and released with cumulative results,97,9029,97%,97% reported,edison,2,unknown,790,7166,1617,0,0,2020-11-04T10:43:45Z,63.17887,R+63,Keller +63,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42109,Snyder,18755,0,25,25,Merged into voters' home precincts and released with cumulative results,99,18981,>98%,>98% reported,edison,4,unknown,1165,14685,4070,0,0,2020-11-04T10:43:45Z,56.59824,R+57,Keller +57,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42113,Sullivan,3531,0,15,15,Merged into voters' home precincts and released with cumulative results,97,3638,97%,97% reported,edison,2,unknown,398,2640,891,0,0,2020-11-06T21:32:39Z,49.53271,R+50,Keller +50,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42115,Susquehanna,20996,0,39,41,Merged into voters' home precincts and released with cumulative results,96,21883,96%,96% reported,edison,4,some,1736,15294,5702,0,0,2020-11-06T12:40:28Z,45.68489,R+46,Keller +46,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42117,Tioga,20668,0,39,41,Merged into voters' home precincts AFTER election night,97,21257,97%,97% reported,edison,2,unknown,1650,16040,4628,0,0,2020-11-09T18:32:38Z,55.21579,R+55,Keller +55,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42119,Union,19815,0,26,27,Released with cumulative results periodically election night,98,20263,98%,98% reported,edison,4,some,1664,13200,6615,0,0,2020-11-07T00:59:24Z,33.2324,R+33,Keller +33,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
42131,Wyoming,14559,3968,26,28,Merged into voters' home precincts and released with cumulative results,95,15247,95%,95% reported,edison,4,all,1042,10287,4272,1771,2197,2020-11-09T20:16:40Z,41.31465,R+41,Keller +41,republican,PA-G-H-12-2020-11-03,pa-house-general-district-012-2020-11-03,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania-house-district-12.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/results-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/ap-polls-pennsylvania.html,https://www.nytimes.com/interactive/2020/11/03/us/elections/exit-polls-pennsylvania.html,house,general,2020-11-03,FALSE,U.S. House District 12,U.S. House,H,solid-rep,12,District 12,PA,pennsylvania,Pennsylvania,Pa.,horizontal,"",FALSE,TRUE,winner,AP,FALSE,"",338400,4603,2,unknown,Polls close at 8 p.m. Eastern time.,Polls close in,Polls have closed.,2020-11-04T01:00:00.000Z,8 p.m.,524,549,95% reporting,95%,95,356000,edison,95%,95% reported,edison,republican,FALSE,2020-11-10T20:48:47Z,TRUE,41.71454,141162,R+42,Keller +42,republican,"","",3,0,1604461859233
