fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_rischj,results_jordanp,results_flemingn,results_writzr,results_absentee_rischj,results_absentee_jordanp,results_absentee_flemingn,results_absentee_writzr,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,state,retrieved_time
16001,Ada,258014,178312,154,154,Merged into voters' home precincts and released with cumulative results,99,259377,>98%,>98% reported,edison,6,all,,80688,,,130446,118718,6940,1910,77874,95560,3949,929,2020-11-04T10:43:49Z,4.54549,R+5,Risch +5,republican,idaho,2020-11-10T20:54:27.151387Z
16003,Adams,1561,0,4,7,"As a precinct in the FIRST cumulative report, along with regular precincts",59,2650,59%,59% reported,edison,2,none,,936,,,828,625,62,46,0,0,0,0,2020-11-04T10:43:50Z,13.00448,R+13,Risch +13,republican,idaho,2020-11-10T20:54:27.151387Z
16005,Bannock,39413,0,54,54,Released as a precinct as first report of the night,100,36555,>98%,>98% reported,edison,6,all,,14147,,,22048,15472,1433,460,0,0,0,0,2020-11-04T10:43:51Z,16.68485,R+17,Risch +17,republican,idaho,2020-11-10T20:54:27.151387Z
16007,Bear Lake,3311,0,15,15,Merged into voters' home precincts and released with cumulative results,100,3279,>98%,>98% reported,edison,2,unknown,,670,,,2801,355,91,64,0,0,0,0,2020-11-04T10:43:51Z,73.87496,R+74,Risch +74,republican,idaho,2020-11-10T20:54:27.151387Z
16009,Benewah,4873,0,11,11,Merged into voters' home precincts and released with cumulative results,96,5080,96%,96% reported,edison,2,unknown,,1083,,,3584,1081,103,105,0,0,0,0,2020-11-04T10:43:51Z,51.36466,R+51,Risch +51,republican,idaho,2020-11-10T20:54:27.151387Z
16011,Bingham,19835,8716,29,29,Released as a precinct as first report of the night,99,20094,>98%,>98% reported,edison,6,all,,6344,,,14644,4313,625,253,6001,2423,203,89,2020-11-04T10:43:52Z,52.0847,R+52,Risch +52,republican,idaho,2020-11-10T20:54:27.151387Z
16013,Blaine,13306,11699,16,16,Released as a precinct as first report of the night,100,13239,>98%,>98% reported,edison,4,all,,5939,,,4225,8739,288,54,3798,7587,264,50,2020-11-04T10:43:52Z,33.92455,D+34,Jordan +34,democrat,idaho,2020-11-10T20:54:27.151387Z
16015,Boise,4811,0,6,6,Released as a precinct at the end of tabulation,100,4706,>98%,>98% reported,edison,2,unknown,,1222,,,3333,1257,128,93,0,0,0,0,2020-11-04T10:43:53Z,43.15111,R+43,Risch +43,republican,idaho,2020-11-10T20:54:27.151387Z
16017,Bonner,27021,14422,32,32,Merged into voters' home precincts and released with cumulative results,100,27021,>98%,>98% reported,edison,6,all,,7483,,,17964,8079,601,377,7770,6249,256,147,2020-11-04T11:01:50Z,36.58266,R+37,Risch +37,republican,idaho,2020-11-10T20:54:27.151387Z
16019,Bonneville,53028,28030,51,51,"As a precinct in the FIRST cumulative report, along with regular precincts",100,49517,>98%,>98% reported,edison,2,none,,14317,,,36490,13913,1972,653,17353,9557,867,253,2020-11-04T10:43:54Z,42.57562,R+43,Risch +43,republican,idaho,2020-11-10T20:54:27.151387Z
16021,Boundary,6258,0,7,7,Released with cumulative results periodically election night,100,6266,>98%,>98% reported,edison,2,none,,2026,,,4800,1212,131,115,0,0,0,0,2020-11-04T10:43:54Z,57.33461,R+57,Risch +57,republican,idaho,2020-11-10T20:54:27.151387Z
16023,Butte,1410,0,4,4,Merged into voters' home precincts and released with cumulative results,92,1528,92%,92% reported,edison,2,unknown,,339,,,1120,222,39,29,0,0,0,0,2020-11-04T10:43:55Z,63.68794,R+64,Risch +64,republican,idaho,2020-11-10T20:54:27.151387Z
16025,Camas,675,0,2,2,Merged into voters' home precincts and released with cumulative results,93,729,93%,93% reported,edison,2,unknown,,150,,,488,156,17,14,0,0,0,0,2020-11-06T14:57:10Z,49.18519,R+49,Risch +49,republican,idaho,2020-11-10T20:54:27.151387Z
16027,Canyon,89597,63705,64,64,Merged into voters' home precincts and released with cumulative results,99,90438,>98%,>98% reported,edison,6,all,,24616,,,59060,26603,2550,1384,40796,20582,1545,782,2020-11-04T10:43:57Z,36.22554,R+36,Risch +36,republican,idaho,2020-11-10T20:54:27.151387Z
16029,Caribou,3196,0,8,9,"As a precinct in the FIRST cumulative report, along with regular precincts",94,3399,94%,94% reported,edison,2,unknown,,702,,,2603,442,97,54,0,0,0,0,2020-11-04T10:43:58Z,67.61577,R+68,Risch +68,republican,idaho,2020-11-10T20:54:27.151387Z
16031,Cassia,9586,4140,24,24,Merged into voters' home precincts and released with cumulative results,94,10188,94%,94% reported,edison,2,none,,1930,,,7564,1508,322,192,3079,867,130,64,2020-11-04T10:43:59Z,63.17546,R+63,Risch +63,republican,idaho,2020-11-10T20:54:27.151387Z
16033,Clark,311,0,3,3,Merged into voters' home precincts and released with cumulative results,92,337,92%,92% reported,edison,2,none,,106,,,254,42,12,3,0,0,0,0,2020-11-04T10:43:59Z,68.1672,R+68,Risch +68,republican,idaho,2020-11-10T20:54:27.151387Z
16035,Clearwater,4379,0,15,15,Released as a precinct in the middle of the night,95,4615,95%,95% reported,edison,2,unknown,,1067,,,3357,883,104,35,0,0,0,0,2020-11-04T10:44:00Z,56.49692,R+56,Risch +56,republican,idaho,2020-11-10T20:54:27.151387Z
16037,Custer,2698,0,10,10,Released as a separate subtotal at the end of tabulation,92,2930,92%,92% reported,edison,2,unknown,,853,,,1978,593,74,53,0,0,0,0,2020-11-04T10:44:00Z,51.33432,R+51,Risch +51,republican,idaho,2020-11-10T20:54:27.151387Z
16039,Elmore,10119,0,18,18,"As a precinct in the FIRST cumulative report, along with regular precincts",96,10518,96%,96% reported,edison,2,none,,3600,,,6797,2814,317,191,0,0,0,0,2020-11-04T10:44:00Z,39.3616,R+39,Risch +39,republican,idaho,2020-11-10T20:54:27.151387Z
16041,Franklin,6614,0,18,18,Released as a separate subtotal as first report of the night,100,6182,>98%,>98% reported,edison,2,none,,1222,,,5678,585,217,134,0,0,0,0,2020-11-06T15:33:52Z,77.00333,R+77,Risch +77,republican,idaho,2020-11-10T20:54:27.151387Z
16043,Fremont,6706,2632,14,14,Released as a precinct as first report of the night,100,6403,>98%,>98% reported,edison,2,none,,1637,,,5391,1001,205,109,1912,611,71,38,2020-11-04T10:44:01Z,65.46376,R+65,Risch +65,republican,idaho,2020-11-10T20:54:27.151387Z
16045,Gem,9912,5045,14,14,None,100,9818,>98%,>98% reported,edison,2,none,,3437,,,7546,1957,268,141,3541,1341,117,46,2020-11-04T10:44:02Z,56.3862,R+56,Risch +56,republican,idaho,2020-11-10T20:54:27.151387Z
16047,Gooding,6039,2738,7,7,Merged into voters' home precincts and released with cumulative results,94,6409,94%,94% reported,edison,2,unknown,,1237,,,4442,1335,186,76,1803,840,62,33,2020-11-04T10:44:02Z,51.44892,R+51,Risch +51,republican,idaho,2020-11-10T20:54:27.151387Z
16049,Idaho County,9481,0,28,28,Released as a precinct in the middle of the night,95,9987,95%,95% reported,edison,2,none,,3325,,,7629,1532,214,106,0,0,0,0,2020-11-04T10:44:02Z,64.30756,R+64,Risch +64,republican,idaho,2020-11-10T20:54:27.151387Z
16051,Jefferson,14066,0,21,21,Released as a precinct as first report of the night,100,12848,>98%,>98% reported,edison,4,some,,3248,,,11702,1647,481,236,0,0,0,0,2020-11-04T10:44:03Z,71.48443,R+71,Risch +71,republican,idaho,2020-11-10T20:54:27.151387Z
16053,Jerome,7788,0,12,12,Released as a precinct as first report of the night,93,8335,93%,93% reported,edison,2,none,,2162,,,5450,1978,249,111,0,0,0,0,2020-11-04T10:44:04Z,44.58141,R+45,Risch +45,republican,idaho,2020-11-10T20:54:27.151387Z
16055,Kootenai,87955,50237,70,70,Merged into voters' home precincts and released with cumulative results,100,80475,>98%,>98% reported,edison,4,all,,31000,,,61289,22945,2538,1183,30894,17681,1178,484,2020-11-05T01:18:26Z,43.59502,R+44,Risch +44,republican,idaho,2020-11-10T20:54:27.151387Z
16057,Latah,20543,10759,35,35,"As a precinct in the FIRST cumulative report, along with regular precincts",100,20543,>98%,>98% reported,edison,6,none,,5446,,,9492,10333,531,187,3354,7128,223,54,2020-11-04T10:44:05Z,4.09385,D+4,Jordan +4,democrat,idaho,2020-11-10T20:54:27.151387Z
16059,Lemhi,4702,0,12,12,"As a precinct in the FIRST cumulative report, along with regular precincts",95,4973,95%,95% reported,edison,2,none,,2112,,,3497,1020,141,44,0,0,0,0,2020-11-04T10:44:06Z,52.67971,R+53,Risch +53,republican,idaho,2020-11-10T20:54:27.151387Z
16061,Lewis,1848,0,8,8,Merged into voters' home precincts and released with cumulative results,96,1931,96%,96% reported,edison,2,unknown,,416,,,1420,357,38,33,0,0,0,0,2020-11-04T10:44:07Z,57.52165,R+58,Risch +58,republican,idaho,2020-11-10T20:54:27.151387Z
16063,Lincoln,1931,0,3,3,"As a precinct in the FIRST cumulative report, along with regular precincts",89,2158,89%,89% reported,edison,2,unknown,,422,,,1371,470,71,19,0,0,0,0,2020-11-04T10:44:07Z,46.65976,R+47,Risch +47,republican,idaho,2020-11-10T20:54:27.151387Z
16065,Madison,16941,0,21,22,Merged into voters' home precincts and released with cumulative results,96,17569,96%,96% reported,edison,4,all,,3616,,,13517,2288,783,353,0,0,0,0,2020-11-04T10:44:07Z,66.28298,R+66,Risch +66,republican,idaho,2020-11-10T20:54:27.151387Z
16067,Minidoka,7923,3880,12,12,Released as a precinct as first report of the night,99,7988,>98%,>98% reported,edison,6,all,,1842,,,5930,1587,307,99,2814,892,148,26,2020-11-04T10:44:08Z,54.8151,R+55,Risch +55,republican,idaho,2020-11-10T20:54:27.151387Z
16069,Nez Perce,20836,0,32,32,Released as a precinct as first report of the night,99,20967,>98%,>98% reported,edison,6,some,,7026,,,13487,6510,684,155,0,0,0,0,2020-11-04T10:44:08Z,33.48531,R+33,Risch +33,republican,idaho,2020-11-10T20:54:27.151387Z
16071,Oneida,2414,1081,6,6,Merged into voters' home precincts and released with cumulative results,100,2316,>98%,>98% reported,edison,2,unknown,,562,,,2039,253,68,54,888,149,27,17,2020-11-04T10:44:08Z,73.98509,R+74,Risch +74,republican,idaho,2020-11-10T20:54:27.151387Z
16073,Owyhee,4725,0,13,13,None,98,4845,98%,98% reported,edison,2,unknown,,725,,,3643,910,106,66,0,0,0,0,2020-11-04T10:44:09Z,57.84127,R+58,Risch +58,republican,idaho,2020-11-10T20:54:27.151387Z
16075,Payette,11233,5629,10,10,Released as a precinct as first report of the night,99,11293,>98%,>98% reported,edison,6,some,,3622,,,8488,2308,306,131,3959,1488,125,57,2020-11-04T10:44:09Z,55.01647,R+55,Risch +55,republican,idaho,2020-11-10T20:54:27.151387Z
16077,Power,3055,0,6,6,Released as a separate subtotal in the middle of the tabulation,96,3194,96%,96% reported,edison,2,none,,733,,,2053,876,91,35,0,0,0,0,2020-11-04T10:44:09Z,38.527,R+39,Risch +39,republican,idaho,2020-11-10T20:54:27.151387Z
16079,Shoshone,5929,0,14,14,Released as a precinct as first report of the night,95,6216,95%,95% reported,edison,2,unknown,,1195,,,3904,1747,181,97,0,0,0,0,2020-11-04T10:44:09Z,36.3805,R+36,Risch +36,republican,idaho,2020-11-10T20:54:27.151387Z
16081,Teton,6310,0,8,8,"As a precinct in the FIRST cumulative report, along with regular precincts",100,5572,>98%,>98% reported,edison,2,none,,3638,,,2837,3251,180,42,0,0,0,0,2020-11-04T10:43:28Z,6.56101,D+7,Jordan +7,democrat,idaho,2020-11-10T20:54:27.151387Z
16083,Twin Falls,36040,7410,47,47,Merged into voters' home precincts and released with cumulative results,98,36883,98%,98% reported,edison,4,some,,11574,,,24355,9776,1318,591,5409,1685,211,105,2020-11-04T10:43:28Z,40.45228,R+40,Risch +40,republican,idaho,2020-11-10T20:54:27.151387Z
16085,Valley,7036,0,8,8,Released as a precinct as first report of the night,100,6494,>98%,>98% reported,edison,2,unknown,,2674,,,3862,2984,155,35,0,0,0,0,2020-11-04T10:43:28Z,12.47868,R+12,Risch +12,republican,idaho,2020-11-10T20:54:27.151387Z
16087,Washington,5351,2742,11,11,Merged into voters' home precincts and released with cumulative results,97,5499,97%,97% reported,edison,2,none,,1909,,,4050,1147,104,50,1877,800,37,28,2020-11-04T10:43:29Z,54.25154,R+54,Risch +54,republican,idaho,2020-11-10T20:54:27.151387Z
