fips,name,votes,absentee_votes,reporting,precincts,absentee_method,eevp,tot_exp_vote,eevp_value,eevp_display,eevp_source,turnout_stage,absentee_count_progress,absentee_outstanding,absentee_max_ballots,provisional_outstanding,provisional_count_progress,results_trumpd,results_bidenj,results_jorgensenj,results_la_rivag,results_collinsp,results_westk,results_hawkinsh,results_gammonc,results_blankenshipd,results_carrollb,results_de_la_fuenter,results_myersj,results_pierceb,results_absentee_trumpd,results_absentee_bidenj,results_absentee_jorgensenj,results_absentee_la_rivag,results_absentee_collinsp,results_absentee_westk,results_absentee_hawkinsh,results_absentee_gammonc,results_absentee_blankenshipd,results_absentee_carrollb,results_absentee_de_la_fuenter,results_absentee_myersj,results_absentee_pierceb,last_updated,leader_margin_value,leader_margin_display,leader_margin_name_display,leader_party_id,margin2020,votes2016,margin2016,votes2012,margin2012,state,retrieved_time
05073,Lafayette,2679,2333,21,25,Released as a separate subtotal as first report of the night,82,3280,82%,82% reported,edison,2,unknown,,2162,,,1757,839,9,12,13,22,5,1,6,0,5,3,7,1574,679,8,12,13,21,5,1,6,0,4,3,7,2020-11-11T03:26:20Z,34.26652,R+34,Trump +34,republican,34.26652,2860,25.4,2929,18.44,arkansas,2020-11-14T00:43:09.152456Z
05075,Lawrence,5857,3994,26,28,Released as a precinct as first report of the night,100,5863,>98%,>98% reported,edison,2,unknown,,3298,,,4569,1080,52,2,49,16,8,3,45,9,3,9,12,3032,823,38,2,36,10,5,1,27,5,3,5,7,2020-11-11T03:26:20Z,59.56975,R+60,Trump +60,republican,59.56975,5685,49.3,5540,31.55,arkansas,2020-11-14T00:43:09.152456Z
05077,Lee,2848,2101,8,9,"As a subtotal in the FIRST cumulative report, along with regular precincts",74,3835,74%,74% reported,edison,2,unknown,,2378,,,1286,1423,8,26,18,15,7,24,14,8,6,5,8,874,1114,8,22,12,11,5,21,9,7,5,5,8,2020-11-11T03:26:22Z,4.81039,D+5,Biden +5,democrat,-4.81039,3026,-16.7,3424,-24.15,arkansas,2020-11-14T00:43:09.152456Z
05079,Lincoln,3870,2277,23,26,Released as a separate subtotal as first report of the night,100,3870,>98%,>98% reported,edison,6,unknown,,2160,,,2725,1031,21,16,21,14,20,6,3,2,4,4,3,1628,588,12,8,15,6,6,5,2,1,2,3,1,2020-11-11T03:26:23Z,43.77261,R+44,Trump +44,republican,43.77261,3826,31.4,3726,20.77,arkansas,2020-11-14T00:43:09.152456Z
05081,Little River,5178,4130,19,22,Merged into voters' home precincts AFTER election night,100,5178,>98%,>98% reported,edison,6,all,,2893,,,3714,1226,44,19,11,17,7,13,83,3,1,29,11,2914,1036,34,15,11,12,6,10,57,3,0,24,8,2020-11-11T03:26:23Z,48.04944,R+48,Trump +48,republican,48.04944,5227,42.2,5051,36.29,arkansas,2020-11-14T00:43:09.152456Z
05083,Logan,8222,5805,33,36,Merged into voters' home precincts and released with cumulative results,100,8170,>98%,>98% reported,edison,2,unknown,,4488,,,6438,1544,88,6,27,24,16,12,28,7,5,14,13,4452,1200,50,5,18,13,13,8,18,4,4,11,9,2020-11-11T03:26:11Z,59.52323,R+60,Trump +60,republican,59.52323,7921,50.9,7331,41.88,arkansas,2020-11-14T00:43:09.152456Z
05085,Lonoke,30660,26484,55,55,Released as a separate subtotal as first report of the night,100,30352,>98%,>98% reported,edison,2,unknown,,20792,,,22884,6684,403,37,48,71,72,124,63,19,97,123,35,19718,5870,322,31,36,51,62,101,53,16,87,110,27,2020-11-11T03:26:12Z,52.83757,R+53,Trump +53,republican,52.83757,27100,52.7,24114,50.82,arkansas,2020-11-14T00:43:09.152456Z
05087,Madison,7315,4452,10,10,Released as a precinct as first report of the night,100,7315,>98%,>98% reported,edison,6,all,,3048,,,5630,1555,54,4,18,10,19,3,3,3,6,2,8,3199,1182,28,1,15,3,8,2,1,3,4,1,5,2020-11-11T03:26:13Z,55.70745,R+56,Trump +56,republican,55.70745,6841,48.8,6568,32.95,arkansas,2020-11-14T00:43:09.152456Z
05089,Marion,7503,5322,29,31,Released as a separate subtotal as first report of the night,100,7481,>98%,>98% reported,edison,6,all,,5478,,,5783,1531,65,4,19,7,19,27,7,7,7,20,7,3999,1201,39,4,11,3,14,20,4,6,4,12,5,2020-11-13T18:36:43Z,56.67067,R+57,Trump +57,republican,56.67067,7107,54.9,7051,38.82,arkansas,2020-11-14T00:43:09.152456Z
05091,Miller,16506,12852,17,19,Released as a separate subtotal as first report of the night,92,18022,92%,92% reported,edison,2,unknown,,11867,,,11907,4235,101,19,27,28,41,17,19,7,29,35,41,9114,3480,67,13,19,19,31,14,16,6,17,26,30,2020-11-11T03:26:16Z,46.48007,R+46,Trump +46,republican,46.48007,16091,43.6,15329,39.82,arkansas,2020-11-14T00:43:09.152456Z
05093,Mississippi,12287,9304,15,18,Released as a separate subtotal as first report of the night,89,13794,89%,89% reported,edison,2,unknown,,13013,,,7262,4542,121,13,86,48,23,16,28,44,17,35,52,5253,3715,75,8,68,31,16,9,22,34,13,19,41,2020-11-11T03:26:18Z,22.13722,R+22,Trump +22,republican,22.13722,13204,10.5,13375,1.02,arkansas,2020-11-14T00:43:09.152456Z
05095,Monroe,2815,1791,7,8,Released as a separate subtotal as first report of the night,78,3618,78%,78% reported,edison,2,unknown,,1656,,,1545,1146,12,19,6,10,33,20,5,1,2,12,4,1008,730,8,7,2,5,14,5,2,1,1,4,4,2020-11-11T03:26:19Z,14.17407,R+14,Trump +14,republican,14.17407,2884,6.1,3230,0.06,arkansas,2020-11-14T00:43:09.152456Z
05097,Montgomery,3839,2773,15,16,"As a subtotal in the FIRST cumulative report, along with regular precincts",100,3671,>98%,>98% reported,edison,2,unknown,,2037,,,3021,722,26,3,6,4,7,4,2,31,9,3,1,2105,600,19,3,3,3,5,4,2,17,8,3,1,2020-11-11T03:26:20Z,59.88539,R+60,Trump +60,republican,59.88539,3559,53.2,3404,42.57,arkansas,2020-11-14T00:43:09.152456Z
05099,Nevada,3358,1820,14,15,Released as a separate subtotal as first report of the night,100,3358,>98%,>98% reported,edison,6,all,,1874,,,2133,1076,8,3,29,5,26,0,46,3,8,14,7,1130,627,3,2,17,1,4,0,15,2,7,9,3,2020-11-11T03:26:22Z,31.47707,R+31,Trump +31,republican,31.47707,3246,26,3384,20.15,arkansas,2020-11-14T00:43:09.152456Z
05101,Newton,3998,2077,18,19,Released as a separate subtotal at the end of tabulation,100,3870,>98%,>98% reported,edison,2,unknown,,2074,,,3192,709,23,0,4,13,11,8,15,4,8,2,9,1540,492,15,0,1,4,5,0,7,2,6,2,3,2020-11-11T03:26:23Z,62.10605,R+62,Trump +62,republican,62.10605,3753,58,3661,41.38,arkansas,2020-11-14T00:43:09.152456Z
05103,Ouachita,8993,7624,15,19,Released as a separate subtotal as first report of the night,78,11553,78%,78% reported,edison,2,unknown,,8051,,,5253,3395,83,13,50,38,60,9,8,13,11,29,31,4344,2988,72,12,44,27,52,8,7,11,10,25,24,2020-11-11T03:26:23Z,20.66051,R+21,Trump +21,republican,20.66051,9935,10.4,10315,8.61,arkansas,2020-11-14T00:43:09.152456Z
05105,Perry,4627,3282,16,17,"As a precinct in the FIRST cumulative report, along with regular precincts",100,4607,>98%,>98% reported,edison,6,all,,2160,,,3479,1012,35,4,2,26,20,14,12,10,8,3,2,2421,784,19,2,1,14,11,8,8,5,6,1,2,2020-11-14T00:04:49Z,53.31748,R+53,Trump +53,republican,53.31748,4306,45.5,3938,35.4,arkansas,2020-11-14T00:43:09.152456Z
05107,Phillips,6155,4182,13,16,Released as a separate subtotal as first report of the night,100,6155,>98%,>98% reported,edison,6,all,,6973,,,2393,3561,15,14,47,44,16,10,23,5,4,13,10,1308,2778,9,11,22,19,9,7,6,3,2,3,5,2020-11-11T03:26:24Z,18.97644,D+19,Biden +19,democrat,-18.97644,6953,-26.8,7930,-32.84,arkansas,2020-11-14T00:43:09.152456Z
05109,Pike,4246,3279,10,11,Merged into voters' home precincts and released with cumulative results,100,4240,>98%,>98% reported,edison,6,all,,2610,,,3519,644,41,0,2,12,4,3,4,4,3,6,4,2693,530,29,0,0,8,3,3,3,3,1,4,2,2020-11-11T03:26:25Z,67.71079,R+68,Trump +68,republican,67.71079,3981,61.9,3788,52.69,arkansas,2020-11-14T00:43:09.152456Z
05111,Poinsett,7418,4239,8,9,Released as a separate subtotal as first report of the night,93,7964,93%,93% reported,edison,2,unknown,,2501,,,5852,1388,39,2,9,10,10,6,38,14,21,11,18,3284,850,22,1,3,4,7,4,24,8,15,9,8,2020-11-11T03:26:25Z,60.17795,R+60,Trump +60,republican,60.17795,7722,46.9,7560,34.18,arkansas,2020-11-14T00:43:09.152456Z
05113,Polk,8490,6316,16,17,Released as a separate subtotal as first report of the night,100,8489,>98%,>98% reported,edison,2,unknown,,5582,,,7035,1246,83,4,28,23,10,14,23,8,8,4,4,5116,1062,54,0,22,14,7,10,15,7,5,2,2,2020-11-13T16:07:43Z,68.1861,R+68,Trump +68,republican,68.1861,8231,65.7,7726,56.94,arkansas,2020-11-14T00:43:09.152456Z
05115,Pope,24367,20680,53,55,Released as a separate subtotal as first report of the night,96,25277,96%,96% reported,edison,4,all,,17896,,,18041,5747,240,25,51,74,54,18,23,37,20,16,21,15201,5047,187,14,40,47,40,11,19,31,11,14,18,2020-11-11T03:26:27Z,50.45348,R+50,Trump +50,republican,50.45348,22569,49.9,20439,47.15,arkansas,2020-11-14T00:43:09.152456Z
05117,Prairie,3465,2038,22,25,Merged into voters' home precincts and released with cumulative results,98,3552,98%,98% reported,edison,2,unknown,,1421,,,2764,646,16,0,3,8,3,3,5,2,3,1,11,1572,442,7,0,1,4,0,3,1,1,1,0,6,2020-11-11T03:26:27Z,61.12554,R+61,Trump +61,republican,61.12554,3444,49.1,3141,40.53,arkansas,2020-11-14T00:43:09.152456Z
05119,Pulaski,165468,130884,127,137,Released as a separate subtotal as first report of the night,92,178949,92%,92% reported,edison,4,all,,127309,,,62389,98855,1632,178,349,711,425,73,129,229,93,119,286,45472,82498,1116,127,219,432,296,55,94,186,81,82,226,2020-11-11T03:26:28Z,22.0381,D+22,Biden +22,democrat,-22.0381,159776,-17.7,159381,-11.46,arkansas,2020-11-14T00:43:09.152456Z
05121,Randolph,6812,5089,27,29,Released as a separate subtotal as first report of the night,100,6769,>98%,>98% reported,edison,6,all,,5349,,,5355,1215,55,9,85,36,10,8,12,9,4,6,8,3932,1000,40,9,54,18,7,5,8,5,3,4,4,2020-11-14T00:04:49Z,60.7751,R+61,Trump +61,republican,60.7751,6379,48.3,5956,27.79,arkansas,2020-11-14T00:43:09.152456Z
05123,Saint Francis,7108,5015,13,15,Released as a separate subtotal as first report of the night,76,9365,76%,76% reported,edison,2,unknown,,5859,,,3242,3604,37,27,22,20,21,15,11,4,8,40,57,2107,2754,20,16,11,14,14,8,6,3,7,24,31,2020-11-14T00:04:49Z,5.09285,D+5,Biden +5,democrat,-5.09285,7430,-11.3,8362,-18.44,arkansas,2020-11-14T00:43:09.152456Z
05125,Saline,56903,47815,41,42,Released as a separate subtotal as first report of the night,100,56903,>98%,>98% reported,edison,6,all,,38510,,,39519,16042,595,18,132,148,117,60,54,43,36,28,111,32619,14193,450,13,102,98,83,43,42,33,29,23,87,2020-11-11T03:26:29Z,41.25793,R+41,Trump +41,republican,41.25793,52100,43.4,47062,42.7,arkansas,2020-11-14T00:43:09.152456Z
05127,Scott,3551,2147,23,26,Released as a separate subtotal as first report of the night,95,3754,95%,95% reported,edison,2,unknown,,1949,,,2962,483,31,3,21,5,5,16,9,2,4,5,5,1722,364,16,1,13,2,3,8,7,1,1,5,4,2020-11-11T03:26:30Z,69.81132,R+70,Trump +70,republican,69.81132,3510,60.7,3640,47.64,arkansas,2020-11-14T00:43:09.152456Z
05129,Searcy,4019,2873,14,15,Released as a precinct as first report of the night,100,3845,>98%,>98% reported,edison,2,unknown,,3016,,,3365,588,30,0,2,7,4,4,9,5,0,2,3,2375,460,18,0,1,6,1,1,2,5,0,2,2,2020-11-11T03:26:31Z,69.09679,R+69,Trump +69,republican,69.09679,3728,63.1,3694,51.03,arkansas,2020-11-14T00:43:09.152456Z
05131,Sebastian,46838,37503,110,117,Released as a separate subtotal as first report of the night,94,49993,94%,94% reported,edison,2,all,,30462,,,31024,14371,798,29,92,147,96,38,55,66,38,31,53,24329,12158,575,15,63,99,66,22,40,51,20,25,40,2020-11-11T03:26:31Z,35.55446,R+36,Trump +36,republican,35.55446,44637,37.7,43362,37.08,arkansas,2020-11-14T00:43:09.152456Z
05133,Sevier,5202,3456,17,17,Released as a separate subtotal as first report of the night,100,4705,>98%,>98% reported,edison,2,unknown,,2310,,,3884,1116,55,18,7,17,10,8,50,10,7,19,1,2532,814,33,9,5,6,5,5,24,6,3,14,0,2020-11-11T03:26:31Z,53.2103,R+53,Trump +53,republican,53.2103,4562,48.4,4330,48.36,arkansas,2020-11-14T00:43:09.152456Z
05135,Sharp,7566,5865,23,25,Released as a separate subtotal as first report of the night,100,7511,>98%,>98% reported,edison,2,unknown,,5603,,,5938,1398,52,5,36,13,29,17,20,6,24,3,25,4519,1179,40,3,26,7,24,10,16,4,16,3,18,2020-11-12T20:12:48Z,60.00529,R+60,Trump +60,republican,60.00529,7249,54.3,7283,38.84,arkansas,2020-11-14T00:43:09.152456Z
05137,Stone,5938,4108,18,19,Released as a precinct in the middle of the night,100,5919,>98%,>98% reported,edison,6,all,,4534,,,4616,1180,47,2,9,21,19,4,18,3,4,6,9,3085,938,20,0,6,14,14,2,9,3,4,5,8,2020-11-11T03:26:32Z,57.8646,R+58,Trump +58,republican,57.8646,5618,51.8,5354,45.2,arkansas,2020-11-14T00:43:09.152456Z
05139,Union,16548,10108,24,28,Released as a separate subtotal as first report of the night,93,17715,93%,93% reported,edison,2,unknown,,12974,,,10446,5559,181,36,32,46,36,48,74,27,4,12,47,5941,3889,92,17,11,27,17,25,34,16,1,8,30,2020-11-11T03:26:32Z,29.53227,R+30,Trump +30,republican,29.53227,16894,27.2,17177,26.22,arkansas,2020-11-14T00:43:09.152456Z
05141,Van Buren,7807,6134,20,21,Released as a precinct as first report of the night,100,7569,>98%,>98% reported,edison,2,unknown,,4338,,,6034,1593,54,4,12,15,19,5,6,22,23,3,17,4665,1353,30,1,8,8,14,5,4,15,18,0,13,2020-11-14T00:02:42Z,56.88485,R+57,Trump +57,republican,56.88485,7339,52.2,6430,39.39,arkansas,2020-11-14T00:43:09.152456Z
05143,Washington,94266,74633,154,154,Released as a separate subtotal as first report of the night,100,91684,>98%,>98% reported,edison,2,unknown,,43475,,,47504,43824,1414,131,105,361,313,107,97,212,51,36,111,35414,37232,945,94,77,228,216,76,64,146,36,23,82,2020-11-14T00:04:48Z,3.90385,R+4,Trump +4,republican,3.90385,81861,9.9,70460,16.25,arkansas,2020-11-14T00:43:09.152456Z
05145,White,30689,21953,91,93,Merged into voters' home precincts and released with cumulative results,98,31359,98%,98% reported,edison,2,unknown,,18262,,,24057,5909,394,12,64,78,40,11,37,25,16,11,35,16893,4595,269,8,36,35,27,8,28,18,8,7,21,2020-11-11T03:26:33Z,59.1352,R+59,Trump +59,republican,59.1352,27999,56.8,26514,53.73,arkansas,2020-11-14T00:43:09.152456Z
05147,Woodruff,2476,1399,17,20,Merged into voters' home precincts and released with cumulative results,89,2769,89%,89% reported,edison,2,unknown,,1078,,,1543,856,14,4,10,9,6,6,3,1,5,12,7,817,535,6,1,8,7,2,4,2,0,2,10,5,2020-11-12T20:05:43Z,27.74637,R+28,Trump +28,republican,27.74637,2571,8.9,2685,-4.21,arkansas,2020-11-14T00:43:09.152456Z
05149,Yell,6711,4859,26,28,Released as a precinct as first report of the night,100,6641,>98%,>98% reported,edison,2,unknown,,3608,,,5205,1275,66,17,14,26,14,13,8,5,19,5,44,3688,1004,48,13,10,21,6,10,6,4,13,4,32,2020-11-11T03:26:33Z,58.56057,R+59,Trump +59,republican,58.56057,6439,48.6,5974,38.83,arkansas,2020-11-14T00:43:09.152456Z
